,Name,ID
0,Tim Robbins ,1
1, Morgan Freeman ,2
2, Bob Gunton ,3
3, William Sadler ,4
4, Clancy Brown ,5
5, Gil Bellows ,6
6, Mark Rolston ,7
7, James Whitmore ,8
8, Jeffrey DeMunn ,9
9, Larry Brandenburg ,10
10, Neil Giuntoli ,11
11, Brian Libby ,12
12, David Proval ,13
13, Joseph Ragno ,14
14, Jude Ciccolella ,15
15, Paul McCrane ,16
16, Renee Blaine ,17
17, Scott Mann ,18
18,Marlon Brando ,19
19, Al Pacino ,20
20, James Caan ,21
21, Diane Keaton ,22
22, Richard S. Castellano ,23
23, Robert Duvall ,24
24, Sterling Hayden ,25
25, John Marley ,26
26, Richard Conte ,27
27, Al Lettieri ,28
28, Abe Vigoda ,29
29, Talia Shire ,30
30, Gianni Russo ,31
31, John Cazale ,32
32, Rudy Bond ,33
33, Al Martino ,34
34, Morgana King ,35
35, Lenny Montana ,36
36,Christian Bale ,37
37, Heath Ledger ,38
38, Aaron Eckhart ,39
39, Michael Caine ,40
40, Maggie Gyllenhaal ,41
41, Gary Oldman ,42
42, Monique Gabriela Curnen ,43
43, Ron Dean ,44
44, Cillian Murphy ,45
45, Chin Han ,46
46, Nestor Carbonell ,47
47, Eric Roberts ,48
48, Ritchie Coster ,49
49, Anthony Michael Hall ,50
50, Keith Szarabajka ,51
51, Colin McFarlane ,52
52, Joshua Harto ,53
53,Al Pacino ,54
54, Robert De Niro ,55
55, Lee Strasberg ,56
56, Michael V. Gazzo ,57
57, G.D. Spradlin ,58
58, Richard Bright ,59
59, Gastone Moschin ,60
60, Tom Rosqui ,61
61, Bruno Kirby ,62
62, Frank Sivero ,63
63, Francesca De Sapio ,64
64, Marianna Hill ,65
65, Leopoldo Trieste ,66
66,Henry Fonda ,67
67, Lee J. Cobb ,68
68, Martin Balsam ,69
69, John Fiedler ,70
70, E.G. Marshall ,71
71, Jack Klugman ,72
72, Edward Binns ,73
73, Jack Warden ,74
74, Joseph Sweeney ,75
75, Ed Begley ,76
76, George Voskovec ,77
77, Robert Webber ,78
78, Tom Gorman ,79
79, James Kelly ,80
80, Billy Nelson ,81
81, John Savoca ,82
82, Walter Stocker ,83
83,Liam Neeson ,84
84, Ralph Fiennes ,85
85, Ben Kingsley ,86
86, Caroline Goodall ,87
87, Jonathan Sagall ,88
88, Embeth Davidtz ,89
89, Malgorzata Gebel ,90
90, Shmuel Levy ,91
91, Mark Ivanir ,92
92, Béatrice Macola ,93
93, Andrzej Seweryn ,94
94, Friedrich von Thun ,95
95, Krzysztof Luft ,96
96, Harry Nehring ,97
97, Norbert Weisser ,98
98, Adi Nitzan ,99
99, Michael Schneider ,100
100, Miri Fabian ,101
101,Elijah Wood ,102
102, Viggo Mortensen ,103
103, Ian McKellen ,104
104, Orlando Bloom ,105
105, Noel Appleby ,106
106, Ali Astin ,107
107, Sean Astin ,108
108, David Aston ,109
109, John Bach ,110
110, Sean Bean ,111
111, Cate Blanchett ,112
112, Billy Boyd ,113
113, Sadwyn Brophy ,114
114, Alistair Browning ,115
115, Marton Csokas ,116
116, Richard Edge ,117
117, Jason Fitch ,118
118, Bernard Hill ,119
119,John Travolta ,120
120, Uma Thurman ,121
121, Samuel L. Jackson ,122
122, Bruce Willis ,123
123, Tim Roth ,124
124, Amanda Plummer ,125
125, Laura Lovelace ,126
126, Phil LaMarr ,127
127, Frank Whaley ,128
128, Burr Steers ,129
129, Ving Rhames ,130
130, Paul Calderon ,131
131, Bronagh Gallagher ,132
132, Rosanna Arquette ,133
133, Eric Stoltz ,134
134, Jerome Patrick Hoban ,135
135, Michael Gilden ,136
136, Gary Shorelle ,137
137, Alan Howard ,138
138, Sala Baker ,139
139, Andy Serkis ,140
140, Megan Edwards ,141
141, Michael Elsworth ,142
142, Mark Ferguson ,143
143, Ian Holm ,144
144, Christopher Lee ,145
145,Clint Eastwood ,146
146, Eli Wallach ,147
147, Lee Van Cleef ,148
148, Aldo Giuffrè ,149
149, Luigi Pistilli ,150
150, Rada Rassimov ,151
151, Enzo Petito ,152
