,Title,Release Year,Length,Parental,Director,Cast,Plot,IMDB Rank,IMDB rating,Image URL
0,The Shawshank Redemption,1994,2h 22m,R,Frank Darabont,"Tim Robbins , Andy Dufresne , Morgan Freeman , Ellis Boyd 'Red' Redding , Bob Gunton , Warden Norton , William Sadler , Heywood , Clancy Brown , Captain Hadley , Gil Bellows , Tommy , Mark Rolston , Bogs Diamond , James Whitmore , Brooks Hatlen , Jeffrey DeMunn , 1946 D.A. , Larry Brandenburg , Skeet , Neil Giuntoli , Jigger , Brian Libby , Floyd , David Proval , Snooze , Joseph Ragno , Ernie , Jude Ciccolella , Guard Mert , Paul McCrane , Guard Trout , Renee Blaine , Andy Dufresne's Wife , Scott Mann , Glenn Quentin","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",1,9.3,"https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1,The Godfather,1972,2h 55m,R,Francis Ford Coppola,"Marlon Brando , Don Vito Corleone , Al Pacino , Michael Corleone , James Caan , Sonny Corleone , Diane Keaton , Kay Adams , Richard S. Castellano , Clemenza(as Richard Castellano) , Robert Duvall , Tom Hagen , Sterling Hayden , Capt. McCluskey , John Marley , Jack Woltz , Richard Conte , Barzini , Al Lettieri , Sollozzo , Abe Vigoda , Sal Tessio , Talia Shire , Connie Corleone Rizzi , Gianni Russo , Carlo Rizzi , John Cazale , Fredo Corleone , Rudy Bond , Cuneo , Al Martino , Johnny Fontane , Morgana King , Mama Corleone , Lenny Montana , Luca Brasi","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",2,9.2,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR4,0,190,281_.jpg"
2,The Dark Knight,2008,2h 32m,PG-13,Christopher Nolan,"Christian Bale , Bruce Wayne… , Heath Ledger , Joker , Aaron Eckhart , Harvey Dent , Michael Caine , Alfred , Maggie Gyllenhaal , Rachel , Gary Oldman , Gordon , Morgan Freeman , Lucius Fox , Monique Gabriela Curnen , Ramirez , Ron Dean , Wuertz , Cillian Murphy , Scarecrow , Chin Han , Lau , Nestor Carbonell , Mayor , Eric Roberts , Maroni , Ritchie Coster , Chechen , Anthony Michael Hall , Engel , Keith Szarabajka , Stephens , Colin McFarlane , Loeb , Joshua Harto , Reese","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",3,9.0,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
3,The Godfather Part II,1974,3h 22m,R,Francis Ford Coppola,"Al Pacino , Michael , Robert De Niro , Vito Corleone(as Robert DeNiro) , Robert Duvall , Tom Hagen , Diane Keaton , Kay , John Cazale , Fredo Corleone , Talia Shire , Connie Corleone , Lee Strasberg , Hyman Roth , Michael V. Gazzo , Frankie Pentangeli , G.D. Spradlin , Sen. Pat Geary , Richard Bright , Al Neri , Gastone Moschin , Fanucci(as Gaston Moschin) , Tom Rosqui , Rocco Lampone , Bruno Kirby , Young Clemenza(as B. Kirby Jr.) , Frank Sivero , Genco , Francesca De Sapio , Young Mama Corleone(as Francesca de Sapio) , Morgana King , Mama Corleone , Marianna Hill , Deanna Corleone(as Mariana Hill) , Leopoldo Trieste , Signor Roberto","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",4,9.0,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR4,0,190,281_.jpg"
4,12 Angry Men,1957,1h 36m,Approved,Sidney Lumet,"Henry Fonda , Juror 8 , Lee J. Cobb , Juror 3 , Martin Balsam , Juror 1 , John Fiedler , Juror 2 , E.G. Marshall , Juror 4 , Jack Klugman , Juror 5 , Edward Binns , Juror 6 , Jack Warden , Juror 7 , Joseph Sweeney , Juror 9 , Ed Begley , Juror 10 , George Voskovec , Juror 11 , Robert Webber , Juror 12 , Rudy Bond , Judge(uncredited) , Tom Gorman , Stenographer(uncredited) , James Kelly , Guard(uncredited) , Billy Nelson , Court Clerk(uncredited) , John Savoca , The Accused(uncredited) , Walter Stocker , Man Waiting for Elevator(uncredited)",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,5,9.0,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,6,190,281_.jpg"
5,Schindler's List,1993,3h 15m,R,Steven Spielberg,"Liam Neeson , Oskar Schindler , Ralph Fiennes , Amon Goeth , Ben Kingsley , Itzhak Stern , Caroline Goodall , Emilie Schindler , Jonathan Sagall , Poldek Pfefferberg(as Jonathan Sagalle) , Embeth Davidtz , Helen Hirsch , Malgorzata Gebel , Wiktoria Klonowska(as Malgoscha Gebel) , Shmuel Levy , Wilek Chilowicz(as Shmulik Levy) , Mark Ivanir , Marcel Goldberg , Béatrice Macola , Ingrid(as Beatrice Macola) , Andrzej Seweryn , Julian Scherner , Friedrich von Thun , Rolf Czurda(as Friedrich Von Thun) , Krzysztof Luft , Herman Toffel , Harry Nehring , Leo John , Norbert Weisser , Albert Hujar , Adi Nitzan , Mila Pfefferberg , Michael Schneider , Juda Dresner , Miri Fabian , Chaja Dresner","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",6,9.0,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
6,The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,Peter Jackson,"Elijah Wood , Frodo , Viggo Mortensen , Aragorn , Ian McKellen , Gandalf , Orlando Bloom , Legolas , Noel Appleby , Everard Proudfoot , Ali Astin , Elanor Gamgee(as Alexandra Astin) , Sean Astin , Sam , David Aston , Gondorian Soldier 3 , John Bach , Madril , Sean Bean , Boromir , Cate Blanchett , Galadriel , Billy Boyd , Pippin , Sadwyn Brophy , Eldarion , Alistair Browning , Damrod , Marton Csokas , Celeborn , Richard Edge , Gondorian Soldier 1 , Jason Fitch , Uruk 2 , Bernard Hill , Theoden",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,7,9.0,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
7,Pulp Fiction,1994,2h 34m,R,Quentin Tarantino,"John Travolta , Vincent Vega , Uma Thurman , Mia Wallace , Samuel L. Jackson , Jules Winnfield , Bruce Willis , Butch Coolidge , Tim Roth , Pumpkin , Amanda Plummer , Honey Bunny , Laura Lovelace , Waitress , Phil LaMarr , Marvin , Frank Whaley , Brett , Burr Steers , Roger , Ving Rhames , Marsellus Wallace , Paul Calderon , Paul , Bronagh Gallagher , Trudi , Rosanna Arquette , Jody , Eric Stoltz , Lance , Jerome Patrick Hoban , Ed Sullivan , Michael Gilden , Phillip Morris Page , Gary Shorelle , Ricky Nelson","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8,8.9,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR2,0,190,281_.jpg"
8,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,Peter Jackson,"Elijah Wood , Frodo , Ian McKellen , Gandalf , Orlando Bloom , Legolas , Sean Bean , Boromir , Alan Howard , Voice of the Ring(voice) , Noel Appleby , Everard Proudfoot , Sean Astin , Sam , Sala Baker , Sauron… , Billy Boyd , Pippin , Andy Serkis , Gollum(voice) , Marton Csokas , Celeborn , Viggo Mortensen , Aragorn , Megan Edwards , Mrs. Proudfoot , Michael Elsworth , Gondorian Archivist… , Cate Blanchett , Galadriel , Mark Ferguson , Gil-galad , Ian Holm , Bilbo , Christopher Lee , Saruman",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,9,8.8,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
9,"The Good, the Bad and the Ugly",1966,2h 58m,Approved,Sergio Leone,"Clint Eastwood , Blondie , Eli Wallach , Tuco , Lee Van Cleef , Sentenza… , Aldo Giuffrè , Alcoholic Union Captain(as Aldo Giuffre') , Luigi Pistilli , Father Pablo Ramirez , Rada Rassimov , Maria , Enzo Petito , Storekeeper , Claudio Scarchilli , Mexican Peon , John Bartha , Sheriff(as John Bartho) , Livio Lorenzon , Baker , Antonio Casale , Jackson… , Sandro Scarchilli , Mexican Peon , Benito Stefanelli , Member of Angel Eyes' Gang , Angelo Novi , Monk , Antonio Casas , Stevens , Aldo Sambrell , Member of Angel Eyes' Gang , Al Mulock , One-Armed Bounty Hunter(as Al Mulloch) , Sergio Mendizábal , Blonde Bounty Hunter(as Sergio Mendizabal)",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,10,8.8,"https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
