,Title,Genre, Meta Score
0,Anatomy of a Murder,"Drama,Mystery,Thriller,Crime",9.5
1,Bringing Up Baby,"Comedy,Romance,Family",9.1
2,After Life,"Drama,Fantasy",9.1
3,Gavagai,Drama,9.1
4,The Hustler,"Drama,Sport",9.0
5,The Circus,"Comedy,Romance",9.0
6,National Gallery,"History,Documentary",8.9
7,Tales of the Grim Sleeper,"Crime,Documentary",8.5
8,The Waiting Room,Documentary,8.4
9,Rosie,Drama,8.3
10,Levitated Mass,"Biography,History,Documentary,News",8.200000000000001
11,Nossa Chape,"Sport,Documentary",8.0
12,Fiddler: A Miracle of Miracles,Documentary,8.0
13,Liyana,"Animation,Documentary",8.0
14,David Crosby: Remember My Name,"Music,Documentary",8.0
15,Colliding Dreams,"Biography,History,Documentary,News",7.9
16,The Order of Myths,Documentary,7.9
17,House of Games,"Thriller,Crime",7.800000000000001
18,Tickling Giants,Documentary,7.800000000000001
19,Abuse of Weakness,Drama,7.7
20,People's Republic of Desire,Documentary,7.7
21,The Decline of Western Civilization Part III,Documentary,7.7
22,How to Change the World,"Adventure,Biography,History,Documentary",7.7
23,"Monrovia, Indiana",Documentary,7.7
24,The Death and Life of Marsha P. Johnson,Documentary,7.6000000000000005
25,Outside In,Drama,7.6000000000000005
26,"3 1/2 Minutes, 10 Bullets","Drama,Crime,Documentary,News",7.6000000000000005
27,Keep Quiet,Documentary,7.6000000000000005
28,Trees Lounge,"Drama,Comedy",7.6000000000000005
29,Afternoon of a Faun: Tanaquil Le Clercq,"Biography,Drama,Music,Documentary",7.6000000000000005
30,Promare,"Adventure,Sci-Fi,Animation",7.6000000000000005
31,Heavy,"Drama,Romance",7.5
32,Charlie's Country,Drama,7.5
33,What Ever Happened to Baby Jane?,"Drama,Thriller,Horror",7.5
34,Little Woods,"Drama,Crime,Western",7.4
35,Land and Shade,Drama,7.4
36,The Rape of Recy Taylor,Documentary,7.300000000000001
37,(T)error,Documentary,7.300000000000001
38,China Blue,Documentary,7.300000000000001
39,Big Animal,"Drama,Comedy",7.300000000000001
40,One Week and a Day,"Drama,Comedy",7.2
41,Saturday Church,"Drama,Fantasy,Musical",7.2
42,Violette,"Biography,Drama",7.2
43,The Kill Team,Documentary,7.2
44,Isn't This a Time! A Tribute Concert for Harold Leventhal,Documentary,7.2
45,The Talent Given Us,"Drama,Comedy",7.2
46,Men Go to Battle,"Drama,History,Comedy",7.2
47,The Brink,Documentary,7.1000000000000005
48,The Farewell Party,"Drama,Comedy",7.1000000000000005
49,Pasolini,"Biography,Drama",7.1000000000000005
50,"Cry, the Beloved Country","Drama,Thriller",7.1000000000000005
51,Sylvio,"Drama,Fantasy,Comedy",7.1000000000000005
52,11 Flowers,Drama,7.1000000000000005
53,King Leopold's Ghost,Documentary,7.1000000000000005
54,Jerichow,Drama,7.1000000000000005
55,"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby","Biography,History,War,Documentary",7.1000000000000005
56,Rock the Bells,"Music,Documentary",7.0
57,The Great Muppet Caper,"Adventure,Mystery,Comedy,Crime,Family,Musical",7.0
58,Citizen Jane: Battle for the City,"Biography,History,Documentary",7.0
59,Who Gets to Call It Art?,Documentary,7.0
60,Sicilian Ghost Story,"Drama,Mystery,Fantasy,Romance,Crime",7.0
61,The Cruise,Documentary,6.9
62,The Reports on Sarah and Saleem,"Drama,Mystery,Romance,Crime,War",6.9
63,Moka,Drama,6.9
64,Bill W.,"Biography,History,Documentary",6.9
65,Here,"Adventure,Drama,Romance",6.800000000000001
66,Afterglow,"Drama,Comedy,Romance",6.800000000000001
67,Stations of the Cross,Drama,6.800000000000001
68,Sorcerer,"Adventure,Drama,Thriller",6.800000000000001
69,Into Eternity,Documentary,6.800000000000001
70,Protagonist,Documentary,6.800000000000001
71,Purple Butterfly,"Drama,History,War",6.800000000000001
72,The Beauty Academy of Kabul,Documentary,6.800000000000001
73,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),"Music,Documentary",6.800000000000001
74,The Gospel According to André,Documentary,6.7
75,Buena Vista Social Club: Adios,Documentary,6.7
76,After Everything,"Drama,Comedy",6.7
77,Escape Fire: The Fight to Rescue American Healthcare,"Documentary,News",6.7
78,Parched,Drama,6.7
79,Steel City,Drama,6.7
80,Been Rich All My Life,Documentary,6.7
81,Super Fly,"Action,Drama,Crime",6.7
82,You Will Be My Son,Drama,6.7
83,The Goebbles Experiment,"Biography,History,War,Documentary",6.7
84,Mrs. Parker and the Vicious Circle,"Biography,Drama",6.6000000000000005
85,Never Here,"Drama,Mystery,Thriller",6.6000000000000005
86,Glassland,Drama,6.6000000000000005
