,Title,Org_Title,Language,popularity,TMDB Score,vote_count
0,The Shawshank Redemption,The Shawshank Redemption,en,114.011,8.7,24848
1,The Godfather,The Godfather,en,157.034,8.7,18876
2,The Dark Knight,The Dark Knight,en,98.444,8.5,30834
3,The Godfather Part II,The Godfather Part II,en,76.862,8.6,11402
4,12 Angry Men,12 Angry Men,en,44.152,8.5,7759
5,Schindler's List,Schindler's List,en,58.43,8.6,14741
6,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,en,91.718,8.5,22506
7,Pulp Fiction,Pulp Fiction,en,74.752,8.5,26079
8,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,en,110.494,8.4,23479
9,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",it,62.812,8.5,7845
10,Forrest Gump,Forrest Gump,en,69.057,8.5,25596
11,Fight Club,Fight Club,en,87.9,8.4,27438
12,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,en,98.524,8.4,20411
13,Inception,Inception,en,81.722,8.4,34689
14,The Empire Strikes Back,The Empire Strikes Back,en,37.12,8.4,15865
15,The Matrix,The Matrix,en,87.617,8.2,24014
16,GoodFellas,GoodFellas,en,65.318,8.5,11850
17,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,en,47.705,8.4,9727
18,Se7en,Se7en,en,61.035,8.4,19563
19,It's a Wonderful Life,It's a Wonderful Life,en,38.078,8.3,3890
20,Seven Samurai,七人の侍,ja,36.567,8.5,3282
21,Interstellar,Interstellar,en,140.649,8.4,32818
22,The Silence of the Lambs,The Silence of the Lambs,en,12.925,8.3,15154
23,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,en,572.644,8.4,4755
24,Saving Private Ryan,Saving Private Ryan,en,51.581,8.2,14759
25,City of God,Cidade de Deus,pt,35.701,8.4,6759
26,Life Is Beautiful,La vita è bella,it,43.028,8.5,12321
27,The Green Mile,The Green Mile,en,78.079,8.5,16082
28,Star Wars,Star Wars,en,91.206,8.2,19267
29,Terminator 2: Judgment Day,Terminator 2: Judgment Day,en,71.601,8.1,11838
30,Back to the Future,Back to the Future,en,71.16,8.3,18591
31,Spirited Away,千と千尋の神隠し,ja,99.195,8.5,15038
32,The Pianist,The Pianist,en,44.594,8.4,8439
33,Psycho,Psycho,en,53.51,8.4,9365
34,Parasite,Parasite,en,11.122,4.8,50
35,Gladiator,Gladiator,en,63.018,8.2,17104
36,The Lion King,The Lion King,en,78.987,7.1,9385
37,Léon: The Professional,Léon: The Professional,en,56.203,8.3,13755
38,American History X,American History X,en,34.666,8.4,10805
39,The Departed,The Departed,en,49.874,8.2,13904
40,Whiplash,Whiplash,en,65.418,8.4,14004
41,The Prestige,The Prestige,en,41.21,8.2,14819
42,The Usual Suspects,The Usual Suspects,en,44.638,8.2,9682
43,Grave of the Fireflies,火垂るの墓,ja,13.027,7.8,87
44,Harakiri,Harakiri,de,2.021,5.9,18
45,Casablanca,Casablanca,en,32.113,8.2,4975
46,Oppenheimer,Oppenheimer,en,379.452,8.2,4027
47,The Intouchables,Intouchables,fr,79.024,8.3,16198
48,Modern Times,Modern Times,en,17.262,8.3,3426
49,Cinema Paradiso,Nuovo Cinema Paradiso,it,34.389,8.4,3995
50,Once Upon a Time in the West,C'era una volta il West,it,41.06,8.3,3961
51,Rear Window,Rear Window,en,28.215,8.4,5956
52,Alien,Alien,en,71.339,8.1,13331
53,City Lights,City Lights,en,13.103,8.3,1978
54,Apocalypse Now,Apocalypse Now,en,39.415,8.3,7564
55,Memento,Memento,en,37.603,8.2,13824
56,Django Unchained,Django Unchained,en,52.293,8.2,24806
57,Raiders of the Lost Ark,Raiders of the Lost Ark,en,69.227,7.9,11563
58,WALL·E,WALL·E,en,73.535,8.1,17550
59,The Lives of Others,Das Leben der Anderen,de,20.088,8.0,3343
60,Ed Ruscha - Motorized Photographs of Sunset Blvd. and Other L.A. Streets,Ed Ruscha - Motorized Photographs of Sunset Blvd. and Other L.A. Streets,en,1.176,0.0,0
61,Paths of Glory,Paths of Glory,en,19.432,8.3,2604
62,Avengers: Infinity War,Avengers: Infinity War,en,212.835,8.3,27890
63,The Shining,The Shining,en,60.757,8.2,16330
64,The Great Dictator,The Great Dictator,en,23.925,8.3,3068
65,Witness for the Prosecution,Witness for the Prosecution,en,28.245,8.2,1227
66,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,en,109.984,8.4,14162
67,Aliens,Aliens,en,69.149,7.9,8821
68,Inglourious Basterds,Inglourious Basterds,en,72.172,8.2,20890
69,The Dark Knight Rises,The Dark Knight Rises,en,61.54,7.8,21459
70,American Beauty,American Beauty,en,36.264,8.0,11339
71,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,en,26.765,8.1,5154
72,Oldboy,Oldboy,en,19.13,5.9,1828
73,Coco,Coco,en,1618.864,8.2,18032
74,Amadeus,Amadeus,en,27.472,8.0,3867
75,Toy Story,Toy Story,en,125.766,8.0,17266
76,Braveheart,Braveheart,en,49.675,7.9,9408
77,Das Boot,Das Boot,de,27.227,8.1,2005
78,Avengers: Endgame,Avengers: Endgame,en,139.452,8.3,24010
79,Joker,Joker,en,80.277,8.2,23598
80,Princess Mononoke,もののけ姫,ja,50.773,8.3,7301
81,Good Will Hunting,Good Will Hunting,en,53.343,8.1,11197
82,Your Name.,君の名は。,ja,87.89,8.5,10420
83,Once Upon a Time in America,Once Upon a Time in America,en,42.867,8.4,4914
84,3 Idiots,3 Idiots,hi,28.153,8.0,2180
85,High and Low,天国と地獄,ja,18.894,8.3,759
86,Singin' in the Rain,Singin' in the Rain,en,22.311,8.2,2882
87,Capernaum,کفرناحوم,ar,30.454,8.2,1540
88,Requiem for a Dream,Requiem for a Dream,en,16.051,8.0,9240
89,Toy Story 3,Toy Story 3,en,65.045,7.8,13856
90,Come and See,Иди и смотри,ru,24.552,8.3,1235
91,Return of the Jedi,Return of the Jedi,en,37.322,7.9,14667
92,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,en,53.305,8.1,13803
93,2001: A Space Odyssey,2001: A Space Odyssey,en,57.038,8.1,10657
94,The Hunt,The Hunt,en,29.833,6.7,2890
95,Reservoir Dogs,Reservoir Dogs,en,39.342,8.1,13381
96,Ikiru,生きる,ja,17.615,8.3,989
97,Lawrence of Arabia,Lawrence of Arabia,en,33.188,8.0,2716
98,Citizen Kane,Citizen Kane,en,24.912,8.0,5082
99,Mavka: The Forest Song,Мавка: Лісова пісня,uk,731.611,7.2,445
100,The Apartment,The Apartment,en,26.237,8.2,2045
101,North by Northwest,North by Northwest,en,31.517,8.0,3773
102,Vertigo,Vertigo,en,33.039,8.2,5307
103,Double Indemnity,Double Indemnity,en,20.946,8.1,1631
104,Amélie,Le Fabuleux Destin d'Amélie Poulain,fr,31.409,7.9,10815
105,Scarface,Scarface,en,82.073,8.2,10858
106,Full Metal Jacket,Full Metal Jacket,en,34.096,8.1,9748
107,A Clockwork Orange,A Clockwork Orange,en,40.938,8.2,12028
108,Incendies,Incendies,fr,18.749,8.1,2357
109,Heat,Heat,en,52.562,7.9,6618
110,Up,Up,en,131.992,8.0,18972
111,Hamilton,Hamilton,en,17.944,8.2,1234
112,To Kill a Mockingbird,To Kill a Mockingbird,en,18.388,8.0,2380
113,The Sting,The Sting,en,16.758,8.0,2358
114,A Separation,A Separation,en,0.6,0.0,0
115,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,en,51.46,7.8,9377
116,Metropolis,Metropolis,de,25.884,8.1,2450
117,Die Hard,Die Hard,en,49.65,7.8,10276
118,Like Stars on Earth,तारे ज़मीन पर,hi,22.321,8.0,1054
119,Snatch,Snatch,en,37.944,7.8,8375
120,Bicycle Thieves,Ladri di biciclette,it,20.7,8.2,2167
121,L.A. Confidential,L.A. Confidential,en,25.289,7.8,4506
122,Taxi Driver,Taxi Driver,en,51.109,8.2,11198
123,1917,1917,en,46.388,8.0,11468
124,Downfall,Downfall,en,2.724,6.5,2
125,Dangal,दंगल,hi,16.573,7.9,877
126,For a Few Dollars More,Per qualche dollaro in più,it,28.346,8.0,3592
127,Batman Begins,Batman Begins,en,63.331,7.7,19685
128,Top Gun: Maverick,Top Gun: Maverick,en,149.442,8.3,7698
129,Some Like It Hot,Some Like It Hot,en,29.579,8.1,3182
