,Film ID,Genre ID
0,1,1
1,1,2
2,2,3
3,3,4
4,3,1
5,3,5
6,3,2
7,4,3
8,5,1
9,5,2
10,6,6
11,6,1
12,6,7
13,6,8
14,7,4
15,7,9
16,7,10
17,8,1
18,8,5
19,8,2
20,9,4
21,9,9
22,9,10
23,10,3
24,11,1
25,11,11
26,12,1
27,12,5
28,12,2
29,13,4
30,13,9
31,13,10
32,14,4
33,14,12
34,14,1
35,14,13
36,14,5
37,15,4
38,15,9
39,15,12
40,16,4
41,16,9
42,16,12
43,16,5
44,17,6
45,17,1
46,17,2
47,18,1
48,19,3
49,20,1
50,20,10
51,20,14
52,21,3
53,22,4
54,22,9
55,22,12
56,22,13
57,23,5
58,23,2
59,24,3
60,25,4
61,25,1
62,25,8
63,26,1
64,26,2
65,27,1
66,27,11
67,27,8
68,28,1
69,28,13
70,28,10
71,28,2
72,29,4
73,29,9
74,29,12
75,29,10
76,30,4
77,30,12
78,30,5
79,31,9
80,31,12
81,31,15
82,32,9
83,32,10
84,32,16
85,32,14
86,33,6
87,33,1
88,33,8
89,34,13
90,34,5
91,34,17
92,35,3
93,36,4
94,36,9
95,36,1
96,36,7
97,37,9
98,37,1
99,37,16
100,37,14
101,37,18
102,38,3
103,39,1
104,39,2
105,40,13
106,40,5
107,40,2
108,41,1
109,41,19
110,42,1
111,42,13
112,42,5
113,43,13
114,43,5
115,43,2
116,44,3
117,45,3
118,46,1
119,46,11
120,46,8
121,47,3
122,48,1
123,48,15
124,49,3
125,50,1
126,50,15
127,50,11
128,51,3
129,52,13
130,52,5
131,53,12
132,53,5
133,53,17
134,54,1
135,54,15
136,54,11
137,55,4
138,55,1
139,55,8
140,56,13
141,56,5
142,57,4
143,57,9
144,57,1
145,57,2
146,57,20
147,58,4
148,58,9
149,59,3
150,60,1
151,60,5
152,61,3
153,62,3
154,63,4
155,63,9
156,63,12
157,63,10
158,64,5
159,64,17
160,65,3
161,66,3
162,67,4
163,67,9
164,67,12
165,67,15
166,67,16
167,67,14
168,68,4
169,68,12
170,68,5
171,69,3
172,70,4
173,70,9
174,70,1
175,70,5
176,70,2
177,71,1
178,72,1
179,72,5
180,73,4
181,73,1
182,73,13
183,73,5
184,74,9
185,74,13
186,74,10
187,74,17
188,74,15
189,74,19
190,74,16
191,74,14
192,74,18
193,75,3
194,76,9
195,76,10
196,76,15
197,76,16
198,76,14
199,77,4
200,77,6
201,77,1
202,77,7
203,77,8
204,78,4
205,78,1
206,78,7
207,78,8
208,79,4
209,79,9
210,79,12
211,79,10
212,80,4
213,80,9
214,80,1
215,80,5
